sample_id,original_text,modified_text,score,expert_score,expert_comments,annotation_date,annotator_id
1,which reached out toward the distant star in Sagittarius and by bracing Triton with its pressure kept the moon-world from be- ing hurled out into space by the sun-ray's pressure.,which reached out toward the distant **star** in Sagittarius and by bracing **itself** with its pressure kept the **earth**-world from be- ing hurled out into space by the sun-ray's pressure.,3.0,,,,
2,unknown space along the fourth coordinate ” “The fourth dimension!” gasped Sheila.,The creature gasped Sheila.,1.0,,,,
3,"Come here, Tubby, and look out.” Tubby shook his head emphatically.","Come here, John, and look out.” He shook his head emphatically.",2.0,,,,
4,"AS the flier raced on, almost passing the huge planet .","AS the flier raced on, almost passing the huge mountain.",2.0,,,,
5,Had their combined great ray pushed our fleet hi to death against Saturn before we could save it?,Had their combined great ray pushed our poor ship to death against rocks before we could save it?,3.0,,,,
6,"“You see, I recognized the name when it popped up on that record.","You see, I recognized the <mask> when it popped up on that record.",4.0,,,,
7,"No, no, Ramon, it is her spirit that your spirit recognized, and possibly, very probably, her soul responded to the cry of yours and caused her to turn and look towards you.","No, no, Ramon, it is her face that your eyes recognized, and possibly, very probably, her soul responded to the cry of yours and caused her to turn and look towards you.",4.0,,,,
8,"The danger was, however, so great, so overwhelming, that the order, with all its drawbacks, was considered more than justified be- cause of the risk of the Martian succeeding in cir- cumventing the protective action of the Venerians, and so establishing rapport with some unfortunate operator somewhere, thus nullifying all the efforts being made.","The danger was, however, so great, so overwhelming, that the order, with all its drawbacks, was considered more than **necessary** be- cause of the risk of the **enemy** succeeding in cir- cumventing the protective **measures** of the **organization**, and so establishing rapport with some unfortunate operator somewhere, thus nullifying all the efforts being made.",4.0,,,,
9,"Soo would have lingered, but No.","Doubt would have lingered, but No.",1.0,,,,
10,"“Yes,” Hanson said as soon as he noted where the judge was going.","Yes,"" Hanson said as soon as he noted where the conversation was going.",3.0,,,,
11,"For the last five minutes of his twenty-minute period, Lothaire faced two fencers at once.","For the last five minutes of his twenty-minute period, he faced two fencers at once.",5.0,,,,
12,It is necessary to speak plainly.,It is necessary to speak plainly.,5.0,,,,
13,"And we can start right in building more things, like apartment houses and office buildings.","And we can start right in building more things, like apartment houses and office buildings.",5.0,,,,
14,"If Your Majesty will permit a further suggestion,"" he said, ""may I propose that the white Curaca be per- mitted to try conclusions at wrestling with one of our athletes ?"" Again the Inca surveyed Bell.","If Your Majesty will permit a further suggestion,"" he said, ""may I propose that the white Curaca be permitted to try conclusions at wrestling with one of our athletes?"" Again the monarch surveyed Bell.",5.0,,,,
15,"“It’s seven forty—you’ve been asleep nearly four hours.” Tubby rubbed his eyes, and clambered to his feet.","He"" rubbed his eyes, and clambered to his feet.",2.0,,,,
16,"He had diseovered that Gora intended to make war upon Tabora, and that Richard Dorr was behind the movement.","He had discovered that Gora intended to make war upon Tabora, and that Richard was behind the movement.",5.0,,,,
17,"“O.K.” When Spangler had finished copying the list, he handed the slip of paper to Pryor and said.","When Spangler had finished copying the list, he handed the slip of paper to me and said.",4.0,,,,
18,"The fourth dimen- sion I"" ""Fourth dimension?"" repeated his ward, blankly.","The captain repeated his word, blankly.",1.0,,,,
19,"The Norseman was silent for a moment; then voice deep, trembling ""Troldom is awake; Helvede crouches at Earth Gate whining to be loosed into a world already devil ridden !","The Norseman was silent for a moment; then voice faltered, trembling ""Troldom is awake; Helvede crouches at Earth Gate whining to be loosed into a world already fear ridden !",4.0,,,,
20,"Tabora was in a state of fear, disorganized, fearful of what the next hour was to bring.",They blamed Zor-Ur-tor and his treaty with the Yal.,1.0,,,,
21,"Startled, Leucon looked frantically for the reenforce- ment that should have filled his place, but the hole behind him was tightly closed with connective tissue and he re- alized with a thrill of horror that they were cut off.","Startled, he looked frantically for the reinforcement that should have filled his place, but the hole behind him was tightly closed with connective tissue and he realized with a thrill of horror that they were cut off.",5.0,,,,
22,"His spear gan its slow, deliberate dripping from the 1 clouds above.",His descent,1.0,,,,
23,"As Banning and I were getting into our space suits, I asked, “By the way.","As Banning and I were getting into our diving suits, I asked, “By the way.",3.0,,,,
24,"“Well, that’s all there is to understanding the fourth dimension.","“Well, that’s all there is to understanding the cosmic mystery.”",2.0,,,,
25,"Then the ship gave a forward jerk, and I knew the speed was increased.","Rewritten: ""Then the machine gave a forward jerk, and I knew the speed was increased.",4.0,,,,
26,“You know the officer in charge at Jackson.,You know the man in charge at Jackson.,1.0,,,,
27,"I have never given the subject much attention—except in the case of ‘Hector Servadac'—and in that story-” “We ain’t seen no Minor Planets yet,” Tubby hastily interrupted.","“We ain’t seen no Martian Planets yet,” Tom hastily interrupted.",2.0,,,,
28,Radium is exceedingly rare !” said Arcot.,Intelligence is exceedingly rare!” said Arcot.,1.0,,,,
29,unknown space along the fourth coordinate ” “The fourth dimension!” gasped Sheila.,The creature gasped Sheila.,1.0,,,,
30,"The Atlantic poured through the narrow pass of the Strait of Gibraltar, leaving only the Lion Rock visible above the waves.","The mist poured through the narrow pass of the Isle of Wight, leaving only the Lion Rock visible above the waves.",3.0,,,,
31,"“Saturn, Uranus and Neptune are unin¬ habited !","Saturn, Uranus and Neptune are uninhabited!",5.0,,,,
